Группа каталога,Тип локации,Регион,Город / кластер,АО Москвы,Район / локация,ЖК,Застройщик,Ссылка на чат,Ссылка исходная,Листы-источники,Строки-источники,Тип списка,Уверенность,Комментарий,slug_chat,slug_group,slug_region,slug_city_cluster,slug_district
ПИК,Другой город/регион,Свердловская область,Екатеринбург,,,Утёс,ПИК,https://t.me/JKUtes,https://t.me/JKUtes,Екатеринбург чаты,Екатеринбург чаты:40,main,high,,utes,pik,sverdlovskaya-oblast,ekaterinburg,
ПРОК,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Стороны света-2""",ПРОК,https://t.me/JKStoronisveta2Sosedi,https://t.me/JKStoronisveta2Sosedi,Питер чаты,Питер чаты:132,main,high,,zhk-storony-sveta-2,prok,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
ПСК,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""PLUS Пулковский""",ПСК,https://t.me/JKPlusPulkovskiySosedi,https://t.me/JKPlusPulkovskiySosedi,Питер чаты,Питер чаты:51,main,high,,zhk-plus-pulkovskiy,psk,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
ПСК,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,ЖК Respect,ПСК,https://t.me/JKRespectS,https://t.me/JKRespectS,Питер чаты,Питер чаты:96,main,high,,zhk-respect,psk,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Первый,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Актив на Дуси Ковальчук,Первый,https://t.me/JKAktivnaDusiKovalchukJiltsi,https://t.me/JKAktivnaDusiKovalchukJiltsi,Новосибирск чаты,Новосибирск чаты:53,main,high,,zhk-aktiv-na-dusi-kovalchuk,pervyi,novosibirskaya-oblast,novosibirsk,
Первый,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Новаторы,Первый,https://t.me/JKNovatoriJiltsi,https://t.me/JKNovatoriJiltsi,Новосибирск чаты,Новосибирск чаты:41,main,high,,zhk-novatory,pervyi,novosibirskaya-oblast,novosibirsk,
Первый,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Основатели,Первый,https://t.me/JKJOsnovateliJiltsi,https://t.me/JKJOsnovateliJiltsi,Новосибирск чаты,Новосибирск чаты:59,main,high,,zhk-osnovateli,pervyi,novosibirskaya-oblast,novosibirsk,
Первый строительный фонд,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Любимый,Первый строительный фонд,https://t.me/JKLubimiy,https://t.me/JKLubimiy,Новосибирск чаты,Новосибирск чаты:102,main,high,,zhk-lyubimyy,pervyi-stroitel-nyi-fond,novosibirskaya-oblast,novosibirsk,
Первый строительный фонд,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Одоевский,Первый строительный фонд,https://t.me/JKOdoevsiJiltsi,https://t.me/JKOdoevsiJiltsi,Новосибирск чаты,Новосибирск чаты:3,main,high,,zhk-odoevskiy,pervyi-stroitel-nyi-fond,novosibirskaya-oblast,novosibirsk,
Первый строительный фонд,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Первый на Есенина,Первый строительный фонд,https://t.me/JKPerviyNaEsenina,https://t.me/JKPerviyNaEsenina,Новосибирск чаты,Новосибирск чаты:96,main,high,,zhk-pervyy-na-esenina,pervyi-stroitel-nyi-fond,novosibirskaya-oblast,novosibirsk,
Первый строительный фонд,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Первый на Рябиновой,Первый строительный фонд,https://t.me/JK1NaRyabinovoy,https://t.me/JK1NaRyabinovoy,Новосибирск чаты,Новосибирск чаты:95,main,high,,zhk-pervyy-na-ryabinovoy,pervyi-stroitel-nyi-fond,novosibirskaya-oblast,novosibirsk,
Первый строительный фонд,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Семейный квартал,Первый строительный фонд,https://t.me/JKSemeyniykvartalJiltsi,https://t.me/JKSemeyniykvartalJiltsi,Новосибирск чаты,Новосибирск чаты:64,main,high,,zhk-semeynyy-kvartal,pervyi-stroitel-nyi-fond,novosibirskaya-oblast,novosibirsk,
Первый строительный фонд,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Скандинавсие кварталы,Первый строительный фонд,https://t.me/JKSkandKvart,https://t.me/JKSkandKvart,Новосибирск чаты,Новосибирск чаты:93,main,high,,zhk-skandinavsie-kvartaly,pervyi-stroitel-nyi-fond,novosibirskaya-oblast,novosibirsk,
Первый строительный фонд,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Урбан икс,Первый строительный фонд,https://t.me/JKUrbanPeaks,https://t.me/JKUrbanPeaks,Новосибирск чаты,Новосибирск чаты:106,main,high,,zhk-urban-iks,pervyi-stroitel-nyi-fond,novosibirskaya-oblast,novosibirsk,
Первый строительный фонд,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Флагман Холл,Первый строительный фонд,https://t.me/JKflagmanHollJiltsi,https://t.me/JKflagmanHollJiltsi,Новосибирск чаты,Новосибирск чаты:18,main,high,,zhk-flagman-holl,pervyi-stroitel-nyi-fond,novosibirskaya-oblast,novosibirsk,
Петрострой,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Чистый Ручей""",Петрострой,https://t.me/JKChistiRucheySosedi,https://t.me/JKChistiRucheySosedi,Питер чаты,Питер чаты:87,main,high,,zhk-chistyy-ruchey,petrostroi,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Полис,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Полис ЛАВрики""",Полис,https://t.me/JKPolisLAVrikiSosedi,https://t.me/JKPolisLAVrikiSosedi,Питер чаты,Питер чаты:35,main,high,,zhk-polis-lavriki,polis,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Полис,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Полис Новоселье""",Полис,https://t.me/JKPolisNovoselieSosedi,https://t.me/JKPolisNovoselieSosedi,Питер чаты,Питер чаты:64,main,high,,zhk-polis-novosele,polis,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Практика,Другой город/регион,Свердловская область,Екатеринбург,,,H2O,Практика,https://t.me/JKH2OH,https://t.me/JKH2OH,Екатеринбург чаты,Екатеринбург чаты:31,main,high,,h2o,praktika,sverdlovskaya-oblast,ekaterinburg,
Практика,Другой город/регион,Свердловская область,Екатеринбург,,,Квартал К3,Практика,https://t.me/JKKvartalK3,https://t.me/JKKvartalK3,Екатеринбург чаты,Екатеринбург чаты:51,main,high,,kvartal-k3,praktika,sverdlovskaya-oblast,ekaterinburg,
Прогресс,Москва,Москва,Москва,СЗАО,Хорошёво-Мнёвники,ЖК «Высотка на Жукова»,Прогресс,https://t.me/JKVisotkaNaZhukova,https://t.me/JKVisotkaNaZhukova,Москва чаты,Москва чаты:241,main,high,,zhk-vysotka-na-zhukova,progress,moskva,moskva,horoshevo-mnevniki
Прогресс-32,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Весна,Прогресс-32,https://t.me/JKVesnaJiltsi,https://t.me/JKVesnaJiltsi,Новосибирск чаты,Новосибирск чаты:22,main,high,,zhk-vesna,progress-32,novosibirskaya-oblast,novosibirsk,
Профи-Инвест,Московская область,Московская область,Пушкино,,,ЖК Фабрикант,Профи-Инвест,https://t.me/JKFabrikantS,https://t.me/JKFabrikantS,Москва чаты,Москва чаты:229,main,high,,zhk-fabrikant,profi-invest,moskovskaya-oblast,pushkino,
РГ-Девелопмент,Москва,Москва,Москва,ВАО,Соколиная Гора,ЖК Семеновский парк-2,РГ-Девелопмент,https://t.me/JKSemenPark2,https://t.me/JKSemenPark2,"Москва чаты, Сдача по чатам",Москва чаты:51; Сдача по чатам:36,"delivery, main",high,,zhk-semenovskiy-park-2,rg-development,moskva,moskva,sokolinaya-gora
РГ-Девелопмент,Москва,Москва,Москва,САО,Аэропорт,ЖК «Петровский парк II»,РГ-Девелопмент,https://t.me/jkpetrovskiyP2,https://t.me/jkpetrovskiyP2,"Москва чаты, Сдача по чатам",Москва чаты:46; Сдача по чатам:31,"delivery, main",medium,,zhk-petrovskiy-park-ii,rg-development,moskva,moskva,aeroport
РГ-Девелопмент,Москва,Москва,Москва,ЮАО,Чертаново Южное,ЖК Варшавские ворота,РГ-Девелопмент,https://t.me/JKVarshVorota,https://t.me/JKVarshVorota,Москва чаты,Москва чаты:131,main,medium,,zhk-varshavskie-vorota,rg-development,moskva,moskva,chertanovo-yuzhnoe
РКС Девелопмент,Москва,Москва,Москва,ЮАО,Даниловский,ЖК INSIDER,РКС Девелопмент,https://t.me/JKInsider,https://t.me/JKInsider,"Москва чаты, Сдача по чатам",Москва чаты:160; Сдача по чатам:19,"delivery, main",high,,zhk-insider,rks-development,moskva,moskva,danilovskiy
РСТИ,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,ЖК  БелАрт,РСТИ,https://t.me/JKBelArtSosedi,https://t.me/JKBelArtSosedi,Питер чаты,Питер чаты:3,main,high,,zhk-belart,rsti,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
РСТИ,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,ЖК  Тайм Сквер,РСТИ,https://t.me/JKTimeSkverSosedi,https://t.me/JKTimeSkverSosedi,Питер чаты,Питер чаты:2,main,high,,zhk-taym-skver,rsti,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
РСТИ,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Кинопарк""",РСТИ,https://t.me/JKKinopark,https://t.me/JKKinopark,Питер чаты,Питер чаты:117,main,high,,zhk-kinopark,rsti,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
РСТИ,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,ЖК Master Place,РСТИ,https://t.me/JKMasterPlacSosedi,https://t.me/JKMasterPlacSosedi,Питер чаты,Питер чаты:4,main,high,,zhk-master-place,rsti,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
РСТИ,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,ЖК Академик,РСТИ,https://t.me/JKAkademickSosedi,https://t.me/JKAkademickSosedi,Питер чаты,Питер чаты:6,main,high,,zhk-akademik,rsti,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
РСТИ,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,ЖК Лайнеръ,РСТИ,https://t.me/JKLainerSosedi,https://t.me/JKLainerSosedi,Питер чаты,Питер чаты:8,main,high,,zhk-layner,rsti,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
РУСИЧ,Москва,Москва,Москва,ЮАО,Царицыно,ЖК «Русич Кантемировский»,РУСИЧ,https://t.me/JKRusichKantS,https://t.me/JKRusichKantS,"Москва чаты, Сдача по чатам",Москва чаты:158; Сдача по чатам:18,"delivery, main",medium,,zhk-rusich-kantemirovskiy,rusich,moskva,moskva,tsaritsyno
Расцветай,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Квартал на Игарской,Расцветай,https://t.me/JKKvartNaIgar,https://t.me/JKKvartNaIgar,Новосибирск чаты,Новосибирск чаты:117,main,high,,zhk-kvartal-na-igarskoy,rastsvetai,novosibirskaya-oblast,novosibirsk,
Расцветай,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Расцветай на Авиастроителей,Расцветай,https://t.me/JKRasvetaiynaAviastroiteleyJilts,https://t.me/JKRasvetaiynaAviastroiteleyJilts,Новосибирск чаты,Новосибирск чаты:63,main,high,,zhk-rastsvetay-na-aviastroiteley,rastsvetai,novosibirskaya-oblast,novosibirsk,
Расцветай,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Расцветай на Дуси Ковальчук,Расцветай,https://t.me/JKRasnadk,https://t.me/JKRasnadk,Новосибирск чаты,Новосибирск чаты:75,main,high,,zhk-rastsvetay-na-dusi-kovalchuk,rastsvetai,novosibirskaya-oblast,novosibirsk,
Расцветай,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Расцветай на Зорге,Расцветай,https://t.me/JKRascvNaZorge,https://t.me/JKRascvNaZorge,Новосибирск чаты,Новосибирск чаты:119,main,high,,zhk-rastsvetay-na-zorge,rastsvetai,novosibirskaya-oblast,novosibirsk,
Расцветай,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Расцветай на Красном,Расцветай,https://t.me/JKRascvetayNaKrasnom,https://t.me/JKRascvetayNaKrasnom,Новосибирск чаты,Новосибирск чаты:79,main,high,,zhk-rastsvetay-na-krasnom,rastsvetai,novosibirskaya-oblast,novosibirsk,
Расцветай,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Расцветай на Кропоткина,Расцветай,https://t.me/JKRascvetayNaKropotkina,https://t.me/JKRascvetayNaKropotkina,Новосибирск чаты,Новосибирск чаты:104,main,high,,zhk-rastsvetay-na-kropotkina,rastsvetai,novosibirskaya-oblast,novosibirsk,
Расцветай,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Сакура парк,Расцветай,https://t.me/JKSakuraPark,https://t.me/JKSakuraPark,Новосибирск чаты,Новосибирск чаты:92,main,high,,zhk-sakura-park,rastsvetai,novosibirskaya-oblast,novosibirsk,
Расцветай,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Сосновый бор,Расцветай,https://t.me/JKSosnoviyborJiltsi,https://t.me/JKSosnoviyborJiltsi,Новосибирск чаты,Новосибирск чаты:19,main,high,,zhk-sosnovyy-bor,rastsvetai,novosibirskaya-oblast,novosibirsk,
Расцветай,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Тайм Парк Апартаменты,Расцветай,https://t.me/JKTaimParkApattamentiJiltsi,https://t.me/JKTaimParkApattamentiJiltsi,Новосибирск чаты,Новосибирск чаты:15,main,high,,zhk-taym-park-apartamenty,rastsvetai,novosibirskaya-oblast,novosibirsk,
Расцветай,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Цветной бульвар,Расцветай,https://t.me/JKCvetnoiBulvar,https://t.me/JKCvetnoiBulvar,Новосибирск чаты,Новосибирск чаты:108,main,high,,zhk-tsvetnoy-bulvar,rastsvetai,novosibirskaya-oblast,novosibirsk,
Расцветай,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,"ЖК ""Расцветай в Янино""",Расцветай,https://t.me/JKRasvetaivYaninoSosedi,https://t.me/JKRasvetaivYaninoSosedi,Питер чаты,Питер чаты:80,main,high,,zhk-rastsvetay-v-yanino,rastsvetai,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Реверс,Другой город/регион,Краснодарский край,Сочи,,,Марине Гарден Сочи,Реверс,https://t.me/JKMarineGardenSochiSosedi2,https://t.me/JKMarineGardenSochiSosedi2,Сочи чаты,Сочи чаты:14,main,high,,marine-garden-sochi,revers,krasnodarskiy-kray,sochi,
Регионстрой,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Серебряный ключ,Регионстрой,https://t.me/JkSerebraniykluchJiltsi,https://t.me/JkSerebraniykluchJiltsi,Новосибирск чаты,Новосибирск чаты:43,main,high,,zhk-serebryanyy-klyuch,regionstroi,novosibirskaya-oblast,novosibirsk,
Регионстрой,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Столетов,Регионстрой,https://t.me/JKStoletoff,https://t.me/JKStoletoff,Новосибирск чаты,Новосибирск чаты:103,main,high,,zhk-stoletov,regionstroi,novosibirskaya-oblast,novosibirsk,
РимЭлитСтрой,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Римский квартал,РимЭлитСтрой,https://t.me/JKRimskiykvartalJiltsi,https://t.me/JKRimskiykvartalJiltsi,Новосибирск чаты,Новосибирск чаты:26,main,high,,zhk-rimskiy-kvartal,rimelitstroi,novosibirskaya-oblast,novosibirsk,
Родина,Москва,Москва,Москва,ЗАО,Очаково-Матвеевское,ЖК «Родина Парк»,Родина,https://t.me/JKRodinaParkSob,https://t.me/JKRodinaParkSob,Москва чаты,Москва чаты:210,main,medium,,zhk-rodina-park,rodina,moskva,moskva,ochakovo-matveevskoe
Родина,Москва,Москва,Москва,СВАО,Ростокино,ЖК Союз,Родина,https://t.me/JKSouzChat,https://t.me/JKSouzChat,"Москва чаты, Сдача по чатам",Москва чаты:81; Сдача по чатам:45,"delivery, main",medium,,zhk-soyuz,rodina,moskva,moskva,rostokino
Романтика,Другой город/регион,Санкт-Петербург / Ленинградская область,Санкт-Петербург / агломерация,,,ЖК Ромашки,Романтика,https://t.me/JKRomaskiSosedi,https://t.me/JKRomaskiSosedi,Питер чаты,Питер чаты:20,main,high,,zhk-romashki,romantika,sankt-peterburg-leningradskaya-oblast,sankt-peterburg-aglomeratsiya,
Роснефтегазстрой-Академинвест,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Квартал на Российской,Роснефтегазстрой-Академинвест,https://t.me/JKJilDompoUlRub,https://t.me/JKJilDompoUlRub,Новосибирск чаты,Новосибирск чаты:90,main,high,,zhk-kvartal-na-rossiyskoy,rosneftegazstroi-akademinvest,novosibirskaya-oblast,novosibirsk,
СД Регион,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Тайм Сквер,СД Регион,https://t.me/JKTimeSkverJiltsi,https://t.me/JKTimeSkverJiltsi,Новосибирск чаты,Новосибирск чаты:27,main,high,,zhk-taym-skver,sd-region,novosibirskaya-oblast,novosibirsk,
СДС,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Легендарный Северный,СДС,https://t.me/JKLegendarniySeverniyJiltsi,https://t.me/JKLegendarniySeverniyJiltsi,Новосибирск чаты,Новосибирск чаты:49,main,high,,zhk-legendarnyy-severnyy,sds,novosibirskaya-oblast,novosibirsk,
СКАНДИА,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Скандиа,СКАНДИА,https://t.me/JKSkandiaJiltsi,https://t.me/JKSkandiaJiltsi,Новосибирск чаты,Новосибирск чаты:48,main,high,,zhk-skandia,skandia,novosibirskaya-oblast,novosibirsk,
СКМ Девелопмент,Другой город/регион,Свердловская область,Екатеринбург,,,Б. 26,СКМ Девелопмент,https://t.me/JKB26Zhuteli,https://t.me/JKB26Zhuteli,Екатеринбург чаты,Екатеринбург чаты:59,main,high,,b-26,skm-development,sverdlovskaya-oblast,ekaterinburg,
СМС Р,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Биография,СМС Р,https://t.me/JKBiografiya,https://t.me/JKBiografiya,Новосибирск чаты,Новосибирск чаты:68,main,high,,zhk-biografiya,sms-r,novosibirskaya-oblast,novosibirsk,
СМСС,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Бирюзовая жемчужина 4,СМСС,https://t.me/JKBiruzovayaZhemch,https://t.me/JKBiruzovayaZhemch,Новосибирск чаты,Новосибирск чаты:85,main,high,,zhk-biryuzovaya-zhemchuzhina-4,smss,novosibirskaya-oblast,novosibirsk,
СМСС,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Звезда,СМСС,https://t.me/JKZvezdaJiltsi,https://t.me/JKZvezdaJiltsi,Новосибирск чаты,Новосибирск чаты:45,main,high,,zhk-zvezda,smss,novosibirskaya-oblast,novosibirsk,
СМСС,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Пилигрим,СМСС,https://t.me/JKPiligrimJiltsi,https://t.me/JKPiligrimJiltsi,Новосибирск чаты,Новосибирск чаты:11,main,high,,zhk-piligrim,smss,novosibirskaya-oblast,novosibirsk,
СМУ 88,Другой город/регион,Республика Татарстан,Казань,,,ЖК Крыловка парк,СМУ 88,https://t.me/JKKrilovkaparkDolchiki,https://t.me/JKKrilovkaparkDolchiki,Казань чаты,Казань чаты:10; Казань чаты:81,main,high,,zhk-krylovka-park,smu-88,respublika-tatarstan,kazan,
СМУ 88,Другой город/регион,Республика Татарстан,Казань,,,ЖК Яратам,СМУ 88,https://t.me/JKYaratamDolchiki,https://t.me/JKYaratamDolchiki,Казань чаты,Казань чаты:9; Казань чаты:80,main,high,,zhk-yaratam,smu-88,respublika-tatarstan,kazan,
СССР,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Квартал Тихвинский,СССР,https://t.me/JKKvartalTihvinskiyJiltsi,https://t.me/JKKvartalTihvinskiyJiltsi,Новосибирск чаты,Новосибирск чаты:6,main,high,,zhk-kvartal-tihvinskiy,sssr,novosibirskaya-oblast,novosibirsk,
СТАДИОН СПАРТАК,Москва,Москва,Москва,СЗАО,Покровское-Стрешнево,ЖК Клубный город на реке Primavera,СТАДИОН СПАРТАК,https://t.me/ZhKKlubnyygorodnarekePrimaveraSosedi,https://t.me/ZhKKlubnyygorodnarekePrimaveraSosedi,Москва чаты,Москва чаты:94,main,high,,zhk-klubnyy-gorod-na-reke-primavera,stadion-spartak,moskva,moskva,pokrovskoe-streshnevo
СТРОЙ-ИНТЕГРАЛ,Другой город/регион,Новосибирская область,Новосибирск,,,ЖК Бестужевский бульвар,СТРОЙ-ИНТЕГРАЛ,https://t.me/JKBestujevskiybulvarJiltsi,https://t.me/JKBestujevskiybulvarJiltsi,Новосибирск чаты,Новосибирск чаты:74,main,high,,zhk-bestuzhevskiy-bulvar,stroi-integral,novosibirskaya-oblast,novosibirsk,
Садовое кольцо,Другой город/регион,Республика Татарстан,Казань,,,ЖК Savin Premier,Садовое кольцо,https://t.me/JKSavinPremierDolchiki,https://t.me/JKSavinPremierDolchiki,Казань чаты,Казань чаты:14; Казань чаты:85,main,high,,zhk-savin-premier,sadovoe-kol-tso,respublika-tatarstan,kazan,
Самолет,Москва,Москва,Москва,ЗАО,Можайский,ЖК «Сити-комплекс Перец»,Самолет,https://t.me/JKPerecChat,https://t.me/JKPerecChat,Москва чаты,Москва чаты:115,main,medium,,zhk-siti-kompleks-perets,samolet,moskva,moskva,mozhayskiy
Самолет,Москва,Москва,Москва,ЗАО,Можайский,ЖК Верейская 41,Самолет,https://t.me/JKVereiskaya41,https://t.me/JKVereiskaya41,"Москва чаты, Сдача по чатам",Москва чаты:78; Сдача по чатам:42,"delivery, main",high,,zhk-vereyskaya-41,samolet,moskva,moskva,mozhayskiy
Самолет,Москва,Москва,Москва,ЗАО,Раменки,ЖК NOVA (Нова),Самолет,https://t.me/JKNOVASobstvenniki,https://t.me/JKNOVASobstvenniki,Москва чаты,Москва чаты:253,main,medium,,zhk-nova-nova,samolet,moskva,moskva,ramenki
Самолет,Новая Москва,Москва,Москва,НАО,Внуково / Кокошкино,ЖК Новое Внуково,Самолет,https://t.me/ZhKNovoeVnukovoSosedi1,https://t.me/ZhKNovoeVnukovoSosedi1,Москва чаты,Москва чаты:88,main,high,,zhk-novoe-vnukovo,samolet,moskva,moskva,vnukovo-kokoshkino
Самолет,Новая Москва,Москва,Москва,НАО,Московский,ЖК Квартал Западный,Самолет,https://t.me/KvartZapadniy,https://t.me/KvartZapadniy,"Москва чаты, Сдача по чатам",Москва чаты:79; Сдача по чатам:43,"delivery, main",high,,zhk-kvartal-zapadnyy,samolet,moskva,moskva,moskovskiy
Самолет,Новая Москва,Москва,Москва,НАО,Московский / Румянцево,ЖК Квартал Румянцево,Самолет,https://t.me/JKKvartalRumyancevo,https://t.me/JKKvartalRumyancevo,"Москва чаты, Сдача по чатам",Москва чаты:45; Сдача по чатам:30,"delivery, main",high,,zhk-kvartal-rumyantsevo,samolet,moskva,moskva,moskovskiy-rumyantsevo
Самолет,Новая Москва,Москва,Москва,НАО,Мосрентген,Апарт-комплекс «Тропарево Парк - ЖК,Самолет,https://t.me/JKTroparevoPark,https://t.me/JKTroparevoPark,Москва чаты,Москва чаты:105,main,high,,apart-kompleks-troparevo-park-zhk,samolet,moskva,moskva,mosrentgen
Самолет,Новая Москва,Москва,Москва,НАО,Сосенское,ЖК Ольховый Квратал,Самолет,https://t.me/JKOlHKvartal,https://t.me/JKOlHKvartal,Москва чаты,Москва чаты:181,main,medium,,zhk-olhovyy-kvratal,samolet,moskva,moskva,sosenskoe
Самолет,Новая Москва,Москва,Москва,НАО,Филимонковский / Марьино,ЖК Квартал Марьино,Самолет,https://t.me/JKKvartMariyno,https://t.me/JKKvartMariyno,"Москва чаты, Сдача по чатам",Москва чаты:77; Сдача по чатам:2,"delivery, main",high,,zhk-kvartal-marino,samolet,moskva,moskva,filimonkovskiy-marino
Самолет,Москва,Москва,Москва,САО,Молжаниновский,ЖК Молжаниново,Самолет,https://t.me/JKMolzhaninovo,https://t.me/JKMolzhaninovo,Москва чаты,Москва чаты:96,main,high,,zhk-molzhaninovo,samolet,moskva,moskva,molzhaninovskiy
Самолет,Москва,Москва,Москва,СВАО,Отрадное,Аквилон Signal,Самолет,https://t.me/JKAkvilonSignal,https://t.me/JKAkvilonSignal,Москва чаты,Москва чаты:206,main,high,,akvilon-signal,samolet,moskva,moskva,otradnoe
Самолет,Москва,Москва,Москва,СЗАО,Строгино,ЖК Квартал Строгино,Самолет,https://t.me/JKKvartalStroginoSob,https://t.me/JKKvartalStroginoSob,Москва чаты,Москва чаты:171,main,high,,zhk-kvartal-strogino,samolet,moskva,moskva,strogino
Самолет,Москва,Москва,Москва,ЦАО,Басманный,ЖК Интеллигент,Самолет,https://t.me/JKIntelligentSoB,https://t.me/JKIntelligentSoB,Москва чаты,Москва чаты:55,main,high,,zhk-intelligent,samolet,moskva,moskva,basmannyy
Самолет,Москва,Москва,Москва,ЮАО,Донской,ЖК «Октябрьская 98»,Самолет,https://t.me/JKOktyabrskaya89,https://t.me/JKOktyabrskaya89,"Москва чаты, Сдача по чатам",Москва чаты:80; Сдача по чатам:44,"delivery, main",medium,,zhk-oktyabrskaya-98,samolet,moskva,moskva,donskoy
Самолет,Москва,Москва,Москва,ЮВАО,Марьино,ЖК Квартал Домашний,Самолет,https://t.me/JKKvartDomashniy,https://t.me/JKKvartDomashniy,Москва чаты,Москва чаты:151,main,high,,zhk-kvartal-domashniy,samolet,moskva,moskva,marino
Самолет,Москва,Москва,Москва,ЮВАО,Печатники,ЖК Квартал на воде,Самолет,https://t.me/JKKvartalNaVode,https://t.me/JKKvartalNaVode,Москва чаты,Москва чаты:109,main,medium,,zhk-kvartal-na-vode,samolet,moskva,moskva,pechatniki
Самолет,Московская область,Московская область,Балашиха,,,ЖК Квартал Авиаторов,Самолет,https://t.me/JKKvartalAviatorovSobstvenniki,https://t.me/JKKvartalAviatorovSobstvenniki,"Москва чаты, Сдача по чатам",Москва чаты:50; Сдача по чатам:35,"delivery, main",high,,zhk-kvartal-aviatorov,samolet,moskovskaya-oblast,balashiha,
Самолет,Московская область,Московская область,Королёв,,,ЖК Космический Квартал,Самолет,https://t.me/JK_KosmicheskiKvartal,https://t.me/JK_KosmicheskiKvartal,Москва чаты,Москва чаты:258,main,high,,zhk-kosmicheskiy-kvartal,samolet,moskovskaya-oblast,korolev,
Самолет,Московская область,Московская область,Красногорск,,Сабурово,ЖК Квартал Сабурово,Самолет,https://t.me/kvartalsaburovochatsobstvennikov,https://t.me/kvartalsaburovochatsobstvennikov,"Москва чаты, Сдача по чатам",Москва чаты:269; Сдача по чатам:37,"delivery, main",high,,zhk-kvartal-saburovo,samolet,moskovskaya-oblast,krasnogorsk,saburovo
